Date,Open,High,Low,Close,Adj Close,Volume
2015-12-01,11.016291,11.088513,9.721106,10.477032,7.145533,131689590
2016-01-01,10.491476,10.491476,8.366218,8.855403,6.039551,187913547
2016-02-01,8.897773,9.388884,7.309848,9.230958,6.295686,220087046
2016-03-01,9.244440,10.438513,8.980588,9.165477,6.251027,158338393
2016-04-01,9.051847,9.769254,8.507773,9.301255,6.343630,135880158
2016-05-01,9.377329,9.378292,8.127403,8.690736,5.927245,160993698
2016-06-01,8.666662,8.781255,6.538515,7.279996,5.294818,237958996
2016-07-01,7.358959,7.761478,6.702219,7.626663,5.546953,148573394
2016-08-01,7.751848,8.258366,7.231848,8.175551,5.946165,115637782
2016-09-01,8.238144,8.708070,7.949255,8.452885,6.147872,156607278
2016-10-01,8.512588,9.600736,8.331551,9.467847,6.886064,154129663
2016-11-01,9.444736,10.684069,9.035477,10.255550,7.458970,190708269
2016-12-01,10.245921,11.622957,10.019625,11.343698,8.250390,158008981
2017-01-01,11.334069,12.224809,11.314809,11.810735,8.590072,132703942
2017-02-01,11.902216,11.993698,10.650365,10.972958,7.980748,156587441
2017-03-01,11.122217,12.388513,11.122217,12.229624,8.894734,145469227
2017-04-01,12.229624,13.385179,11.165550,13.144438,9.560088,171167774
2017-05-01,13.144438,14.179623,13.134808,13.134808,9.553084,172188826
2017-06-01,13.105920,14.044808,12.918142,13.563327,10.290568,137746316
2017-07-01,13.659623,14.555178,13.645179,14.299993,10.849481,122048416
2017-08-01,14.295178,15.094437,13.871475,14.261475,10.820256,144414718
2017-09-01,14.348141,15.022215,13.852216,14.810363,11.236700,108535480
2017-10-01,14.786289,15.051104,14.078512,14.425178,10.944458,129632656
2017-11-01,14.473326,14.569623,13.255179,13.630734,10.341709,149127598
2017-12-01,13.630734,14.227771,13.255179,13.288882,10.082345,110898578
2018-01-01,13.288882,14.964437,13.288882,14.612956,11.086927,126538073
2018-02-01,14.699623,14.872956,12.889253,13.611475,10.327099,149773789
2018-03-01,13.577771,13.606660,12.465550,12.715920,9.647635,123464522
2018-04-01,12.715920,13.255179,12.441475,13.129994,9.961796,92933071
2018-05-01,13.129994,13.410000,11.610000,11.740000,8.907200,184227083
2018-06-01,11.905000,12.285000,11.295000,11.435000,9.116450,162399711
2018-07-01,11.350000,12.140000,11.105000,12.015000,9.578850,136840389
2018-08-01,12.070000,12.590000,11.654000,11.784000,9.394687,148384055
2018-09-01,11.786000,13.124000,11.774000,12.386000,9.874626,151616817
2018-10-01,12.360000,12.746000,10.966000,11.328000,9.031145,180579130
2018-11-01,11.308000,11.728000,10.546000,10.968000,8.744139,132124825
2018-12-01,11.190000,11.238000,9.098000,9.430000,7.517982,135471241
2019-01-01,9.430000,10.424000,9.095000,9.959000,7.939722,130717610
2019-02-01,9.965000,11.286000,9.402000,11.232000,8.954610,148453298
2019-03-01,11.342000,11.436000,10.370000,10.770000,8.586286,162438288
2019-04-01,10.965000,12.490000,10.825000,12.230000,9.750257,121285957
2019-05-01,12.230000,12.505000,10.060000,10.230000,8.155774,148717430
2019-06-01,10.150000,10.800000,10.050000,10.545000,8.987854,109503693
2019-07-01,10.745000,11.440000,10.570000,10.780000,9.188151,101004734
2019-08-01,10.900000,11.080000,9.680000,10.390000,8.855742,133877111
2019-09-01,10.370000,11.535000,10.235000,11.140000,9.494992,116998233
2019-10-01,11.180000,12.035000,10.335000,11.685000,9.959514,132716219
2019-11-01,11.700000,12.785000,11.605000,12.415000,10.581717,121193407
2019-12-01,12.495000,13.400000,12.045000,12.925000,11.016407,97928524
2020-01-01,12.925000,13.220000,12.185000,12.230000,10.424035,108004700
2020-02-01,12.290000,13.800000,10.570000,10.810000,9.213722,180372733
2020-03-01,11.015000,11.220000,5.700000,6.690000,5.702109,426299382
2020-04-01,6.520000,7.878000,6.004000,7.282000,6.206690,209956803
2020-05-01,7.282000,8.218000,6.408000,7.824000,6.668655,163568106
2020-06-01,8.068000,9.522000,7.750000,8.428000,7.183465,201547416
2020-07-01,8.474000,9.516000,8.126000,8.126000,6.926060,137698064
2020-08-01,8.100000,9.296000,8.044000,8.588000,7.319838,101650582
2020-09-01,8.706000,8.882000,7.082000,7.472000,6.368634,137283691
2020-10-01,7.598000,7.872000,6.514000,6.782000,5.780524,133021435
2020-11-01,6.842000,10.100000,6.766000,9.674000,8.245471,202299893
2020-12-01,9.726000,11.050000,9.680000,10.320000,8.796079,148306090
2021-01-01,10.320000,10.880000,9.228000,9.380000,7.994885,105283756
2021-02-01,9.500000,11.985000,9.420000,11.615000,9.899850,117495121
2021-03-01,11.770000,12.650000,11.695000,12.345000,10.522053,121395537
2021-04-01,12.336000,13.000000,11.958000,12.872000,10.971232,89538403
2021-05-01,12.854000,13.490000,11.782000,12.202000,10.400169,123314961
2021-06-01,12.242000,12.624000,11.456000,11.814000,10.711752,153229468
2021-07-01,11.934000,12.120000,10.972000,11.760000,10.662790,130187602
2021-08-01,11.878000,12.352000,11.620000,12.210000,11.070805,93498171
2021-09-01,12.280000,12.424000,11.054000,11.946000,10.831436,128692985
2021-10-01,11.764000,13.142000,11.660000,13.040000,11.823366,115023556
2021-11-01,13.056000,13.412000,11.802000,12.066000,10.940240,139534686
2021-12-01,12.110000,12.608000,11.712000,12.550000,11.379083,97562149
2022-01-01,12.620000,13.944000,12.600000,13.280000,12.040974,126578354
2022-02-01,13.400000,14.266000,11.284000,11.466000,10.396220,159554480
2022-03-01,11.370000,11.500000,8.970000,10.886000,9.870334,323568514
2022-04-01,10.946000,11.042000,9.687000,10.376000,9.407918,161086644
2022-05-01,10.324000,11.296000,9.840000,10.314000,9.351703,181988661
2022-06-01,10.406000,10.434000,8.574000,8.731000,8.731000,177257930
2022-07-01,8.695000,9.030000,8.094000,8.979000,8.979000,142297952
2022-08-01,8.964000,10.138000,8.780000,9.190000,9.190000,143291601
2022-09-01,9.100000,9.852000,8.175000,8.364000,8.364000,187587410
2022-10-01,8.246000,9.241000,8.114000,9.186000,9.186000,134263803
2022-11-01,9.250000,9.820000,9.145000,9.610000,9.610000,172723953
2022-12-01,9.696000,9.939000,9.293000,9.831000,9.831000,154037130
2023-01-01,9.896000,10.528000,9.883000,10.518000,10.518000,43500051
2023-01-06,10.450000,10.528000,10.384000,10.518000,10.518000,7608068
